"name","store","total_profit","total_in_app_revenue","total_marketing_expense","rights_purchase_expense","lifespan_months","app_store_rating","play_store_rating","weighted_avg_rating","app_store_review_count","play_store_review_count","app_store_price","play_store_price","weighted_avg_price","app_store_content_rating","play_store_content_rating","app_store_primary_genre","play_store_category","play_store_genres"
"Does not Commute","both",407000.0,540000,108000,25000.0,108,4.0,4.0,4.0,5645,154108,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Racing"
"Domino's Pizza USA","both",479000.0,630000,126000,25000.0,126,5.0,4.7,4.76,258624,1032935,0.0,0.0,0.0,"4+","Everyone","Food & Drink","FOOD_AND_DRINK","Food & Drink"
"Don't Starve: Pocket Edition","both",406100.0,570000,114000,49900.0,114,4.0,4.4,4.33,3742,17988,4.99,4.99,4.99,"9+","Teen","Games","GAME","Adventure"
"Don't Starve: Shipwrecked","both",382100.0,540000,108000,49900.0,108,3.5,4.1,3.95,495,1468,4.99,4.99,4.99,"9+","Teen","Games","GAME","Adventure"
"Doodle Jump","both",431000.0,570000,114000,25000.0,114,4.5,4.3,4.35,395261,1083571,0.99,0.0,0.26,"4+","Everyone","Games","GAME","Arcade"
"DoorDash - Food Delivery","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,25947,104504,0.0,0.0,0.0,"4+","Everyone","Food & Drink","FOOD_AND_DRINK","Food & Drink"
"Dr. Panda & Toto's Treehouse","both",440100.0,600000,120000,39900.0,120,4.5,4.4,4.41,455,3397,3.99,3.99,3.99,"4+","Everyone","Entertainment","FAMILY","Casual;Pretend Play"
"Dr. Panda Farm","both",402100.0,540000,108000,29900.0,108,4.0,4.1,4.09,28,265,2.99,2.99,2.99,"4+","Everyone","Education","FAMILY","Education;Pretend Play"
"Dr. Panda Hospital","both",426100.0,570000,114000,29900.0,114,4.0,4.4,4.3,372,1091,2.99,2.99,2.99,"4+","Everyone","Education","FAMILY","Education;Pretend Play"
"Dr. Panda Supermarket","both",426100.0,570000,114000,29900.0,114,4.0,4.2,4.16,342,1357,2.99,2.99,2.99,"4+","Everyone","Education","FAMILY","Educational;Pretend Play"
"DRAGON BALL Z DOKKAN BATTLE","both",407000.0,540000,108000,25000.0,108,4.0,4.1,4.1,5362,650114,0.0,0.0,0.0,"9+","Teen","Games","GAME","Action"
"Dragon Hills","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,5508,354373,1.99,0.0,0.03,"9+","Everyone 10+","Games","GAME","Action"
"DRAGON QUEST","both",426100.0,570000,114000,29900.0,114,4.5,4.2,4.21,419,9659,2.99,2.99,2.99,"9+","Everyone","Games","FAMILY","Role Playing"
"Driving Zone","both",431000.0,570000,114000,25000.0,114,4.0,4.2,4.2,298,51791,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Racing"
"Dropbox","both",455000.0,600000,120000,25000.0,120,3.5,4.4,4.38,49578,1861310,0.0,0.0,0.0,"4+","Everyone","Productivity","PRODUCTIVITY","Productivity"
"Dubsmash","both",431000.0,570000,114000,25000.0,114,4.5,4.2,4.2,20243,1971777,0.0,0.0,0.0,"12+","Teen","Entertainment","VIDEO_PLAYERS","Video Players & Editors"
"Dude Perfect","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,9763,97,0.99,0.0,0.98,"4+","Everyone","Games","SPORTS","Sports"
"Dude Perfect 2","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,28361,401648,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Action"
"Dumb Ways to Die 2: The Games","both",431000.0,570000,114000,25000.0,114,4.0,4.2,4.2,11295,1671658,0.0,0.0,0.0,"12+","Teen","Games","FAMILY","Casual"
"Earn to Die 2","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.6,3072,1327269,1.99,0.0,0.0,"12+","Teen","Games","GAME","Racing"
"Edmodo","both",407000.0,540000,108000,25000.0,108,3.5,4.1,4.08,7197,200214,0.0,0.0,0.0,"4+","Everyone","Education","FAMILY","Education"
"Egg, Inc.","both",479000.0,630000,126000,25000.0,126,5.0,4.7,4.74,79074,580160,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Simulation"
"Endless Ducker","both",455000.0,600000,120000,25000.0,120,4.0,4.5,4.46,639,8193,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Arcade"
"Episode - Choose Your Story","both",431000.0,570000,114000,25000.0,114,4.5,4.3,4.32,155903,1842381,0.0,0.0,0.0,"12+","Teen","Games","FAMILY","Simulation"
"Epson iPrint","both",407000.0,540000,108000,25000.0,108,3.0,4.1,4.07,2838,108169,0.0,0.0,0.0,"4+","Everyone","Photo & Video","TOOLS","Tools"
"F-Sim Space Shuttle","both",430100.0,600000,120000,49900.0,120,4.5,4.4,4.45,6403,5427,4.99,4.99,4.99,"4+","Everyone","Games","FAMILY","Simulation"
"Facebook","both",407000.0,540000,108000,25000.0,108,3.5,4.1,4.08,2974676,78158306,0.0,0.0,0.0,"4+","Teen","Social Networking","SOCIAL","Social"
"Fallout Shelter","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.59,199396,2721923,0.0,0.0,0.0,"12+","Teen","Games","FAMILY","Simulation"
"Fandango Movies - Times + Tickets","both",431000.0,570000,114000,25000.0,114,4.0,4.6,4.27,291787,243747,0.0,0.0,0.0,"4+","Teen","Entertainment","ENTERTAINMENT","Entertainment"
"Farm Heroes Saga","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.4,187579,7615646,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Casual"
"Farming Simulator 14","both",455000.0,600000,120000,25000.0,120,4.0,4.5,4.5,3615,530904,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Simulation;Action & Adventure"
"Farming Simulator 16","both",424612.23,570000,114000,31387.77,114,4.5,4.2,4.22,2637,32812,4.99,2.99,3.14,"4+","Everyone","Games","FAMILY","Simulation;Education"
"Fernanfloo","both",479000.0,630000,126000,25000.0,126,4.5,4.8,4.8,2886,526595,0.0,0.0,0.0,"9+","Everyone 10+","Games","GAME","Arcade"
"FINAL FANTASY BRAVE EXVIUS","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.6,28187,745684,0.0,0.0,0.0,"12+","Teen","Games","GAME","Role Playing"
"FINAL FANTASY V","both",392962.62,600000,120000,87037.38,120,4.5,4.5,4.5,1808,15924,14.99,7.99,8.7,"9+","Teen","Games","FAMILY","Role Playing"
"Firefox Focus: The privacy browser","both",455000.0,600000,120000,25000.0,120,4.0,4.4,4.39,477,36981,0.0,0.0,0.0,"17+","Everyone","Utilities","COMMUNICATION","Communication"
"Fishdom","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.6,39217,2158580,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Puzzle"
"Fitbit","both",407000.0,540000,108000,25000.0,108,4.0,3.9,3.92,90496,357417,0.0,0.0,0.0,"4+","Everyone","Health & Fitness","HEALTH_AND_FITNESS","Health & Fitness"
"Five Nights at Freddy's","both",450100.0,600000,120000,29900.0,120,4.5,4.6,4.58,27388,100805,2.99,2.99,2.99,"12+","Teen","Games","GAME","Action"
"Five Nights at Freddy's 2","both",450100.0,600000,120000,29900.0,120,4.5,4.6,4.58,18107,73919,2.99,2.99,2.99,"12+","Teen","Games","FAMILY","Strategy"
"Five Nights at Freddy's 3","both",474100.0,630000,126000,29900.0,126,4.5,4.7,4.65,9876,27856,2.99,2.99,2.99,"12+","Teen","Games","GAME","Action"
"Flow Free","both",431000.0,570000,114000,25000.0,114,4.5,4.3,4.34,373857,1295625,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Puzzle"
"Fly Delta","both",359000.0,480000,96000,25000.0,96,3.0,3.7,3.54,8094,27560,0.0,0.0,0.0,"4+","Everyone","Travel","TRAVEL_AND_LOCAL","Travel & Local"
"Frozen Free Fall","both",431000.0,570000,114000,25000.0,114,4.5,4.3,4.31,50593,1574546,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Puzzle;Action & Adventure"
"Fruit Ninja Classic","both",455000.0,600000,120000,25000.0,120,4.5,4.3,4.48,698516,85468,1.99,0.99,1.88,"4+","Everyone","Games","GAME","Arcade"
"Fruit Ninja®","both",431000.0,570000,114000,25000.0,114,4.5,4.3,4.31,327025,5091448,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Arcade"
"Fuel Rewards® program","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.59,2249,32433,0.0,0.0,0.0,"4+","Everyone","Shopping","LIFESTYLE","Lifestyle"
"Gear.Club - True Racing","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.4,2793,140658,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Racing"
"Geocaching®","both",407000.0,540000,108000,25000.0,108,3.5,4.1,4.0,12811,62616,0.0,0.0,0.0,"4+","Teen","Navigation","HEALTH_AND_FITNESS","Health & Fitness"
"Geometry Dash Lite","both",455000.0,600000,120000,25000.0,120,5.0,4.5,4.53,370370,6181640,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Arcade"
"Geometry Dash Meltdown","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.59,117470,1591129,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Arcade"
"Geometry Dash World","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.6,5114,760628,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Arcade"
"Get 'Em","both",407000.0,540000,108000,25000.0,108,4.0,4.1,4.1,40,7904,0.99,0.0,0.0,"9+","Everyone 10+","Games","GAME","Action"
"GMX Mail","both",431000.0,570000,114000,25000.0,114,4.5,4.3,4.3,102,258556,0.0,0.0,0.0,"4+","Everyone","Productivity","COMMUNICATION","Communication"
"Google Classroom","both",431000.0,570000,114000,25000.0,114,4.0,4.2,4.18,5942,69498,0.0,0.0,0.0,"4+","Everyone","Education","EDUCATION","Education"
"Google Docs","both",431000.0,570000,114000,25000.0,114,4.5,4.3,4.31,64259,815981,0.0,0.0,0.0,"4+","Everyone","Productivity","PRODUCTIVITY","Productivity"
"Google Earth","both",431000.0,570000,114000,25000.0,114,3.5,4.3,4.17,446185,2339098,0.0,0.0,0.0,"4+","Everyone","Travel","TRAVEL_AND_LOCAL","Travel & Local"
"Google Play Movies & TV","both",383000.0,510000,102000,25000.0,102,3.0,3.7,3.7,1195,906384,0.0,0.0,0.0,"12+","Teen","Entertainment","VIDEO_PLAYERS","Video Players & Editors"
"Google Sheets","both",431000.0,570000,114000,25000.0,114,4.5,4.3,4.31,24602,496399,0.0,0.0,0.0,"4+","Everyone","Productivity","PRODUCTIVITY","Productivity"
"Google Slides","both",431000.0,570000,114000,25000.0,114,4.0,4.2,4.19,9920,244567,0.0,0.0,0.0,"4+","Everyone","Productivity","PRODUCTIVITY","Productivity"
"Google Street View","both",431000.0,570000,114000,25000.0,114,4.0,4.2,4.2,1450,2129707,0.0,0.0,0.0,"4+","Everyone","Travel","TRAVEL_AND_LOCAL","Travel & Local"
"Google Translate","both",455000.0,600000,120000,25000.0,120,3.5,4.4,4.4,26786,5745093,0.0,0.0,0.0,"4+","Everyone","Reference","TOOLS","Tools"
"Grand Theft Auto: San Andreas","both",386100.0,570000,114000,69900.0,114,4.0,4.4,4.37,32533,348962,6.99,6.99,6.99,"17+","Mature 17+","Games","GAME","Action"
"GroupMe","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,28260,330761,0.0,0.0,0.0,"4+","Everyone","Social Networking","COMMUNICATION","Communication"
"H&M","both",383000.0,510000,102000,25000.0,102,3.0,3.7,3.69,687,41941,0.0,0.0,0.0,"4+","Everyone","Shopping","LIFESTYLE","Lifestyle"
"H*nest Meditation","both",479000.0,630000,126000,25000.0,126,4.5,4.9,4.79,55,145,1.99,1.99,1.99,"17+","Mature 17+","Entertainment","LIFESTYLE","Lifestyle"
"Hangouts","both",407000.0,540000,108000,25000.0,108,4.0,4.0,4.0,36404,3419513,0.0,0.0,0.0,"4+","Everyone","Social Networking","COMMUNICATION","Communication"
"Hay Day","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,567344,10053186,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Casual"
"Hill Climb Racing","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.4,108183,8923847,0.0,0.0,0.0,"9+","Everyone","Games","GAME","Racing"
"Hill Climb Racing 2","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.6,33854,2750645,0.0,0.0,0.0,"9+","Everyone","Games","GAME","Racing"
"Hitman GO","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.59,8673,84114,4.99,0.99,1.36,"9+","Everyone 10+","Games","FAMILY","Puzzle"
"Hitman Sniper","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.6,8452,408292,0.99,0.99,0.99,"17+","Mature 17+","Games","GAME","Action"
"Hot Wheels: Race Off","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,3141,520654,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Racing;Action & Adventure"
"Hungry Shark Evolution","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,83784,6074627,0.0,0.0,0.0,"12+","Teen","Games","GAME","Arcade"
"Hungry Shark World","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,24057,1243017,0.0,0.0,0.0,"12+","Teen","Games","GAME","Action"
"I am Bread","both",358100.0,510000,102000,49900.0,102,3.5,4.0,3.66,1394,630,4.99,4.99,4.99,"4+","Everyone","Games","GAME","Adventure"
"iFunny :)","both",431000.0,570000,114000,25000.0,114,3.5,4.4,4.25,98344,503757,0.0,0.0,0.0,"17+","Mature 17+","Entertainment","FAMILY","Entertainment"
"Indeed Job Search","both",431000.0,570000,114000,25000.0,114,4.0,4.3,4.28,38681,674730,0.0,0.0,0.0,"4+","Everyone","Business","BUSINESS","Business"
"Infinite Painter","both",407000.0,540000,108000,25000.0,108,4.0,4.1,4.1,65,36815,0.0,0.0,0.0,"4+","Everyone","Productivity","ART_AND_DESIGN","Art & Design"
"Ingress","both",431000.0,570000,114000,25000.0,114,3.5,4.3,4.29,2739,391325,0.0,0.0,0.0,"9+","Everyone","Games","GAME","Adventure"
"Injustice: Gods Among Us","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.42,612532,2440877,0.0,0.0,0.0,"12+","Teen","Games","GAME","Action"
"Inside Out Thought Bubbles","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.4,21881,623398,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Puzzle;Brain Games"
"Instagram","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,2161558,66577446,0.0,0.0,0.0,"12+","Teen","Photo & Video","SOCIAL","Social"
"Jetpack Joyride","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.41,405647,4638163,0.0,0.0,0.0,"9+","Everyone 10+","Games","GAME","Arcade"
"Just Dance Now","both",431000.0,570000,114000,25000.0,114,3.5,4.2,4.2,2535,794058,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Music"
"Kids A-Z","both",431000.0,570000,114000,25000.0,114,3.5,4.2,4.13,2887,26426,0.0,0.0,0.0,"4+","Everyone","Education","FAMILY","Education;Education"
"Kik","both",431000.0,570000,114000,25000.0,114,4.0,4.3,4.27,260965,2451136,0.0,0.0,0.0,"12+","Teen","Social Networking","COMMUNICATION","Communication"
"King of Avalon: Dragon Warfare","both",431000.0,570000,114000,25000.0,114,4.0,4.2,4.2,3326,306652,0.0,0.0,0.0,"9+","Everyone 10+","Games","FAMILY","Strategy"
"LEGO Batman: DC Super Heroes","both",382100.0,540000,108000,49900.0,108,4.0,4.2,4.05,7717,2557,4.99,4.99,4.99,"9+","Everyone 10+","Games","FAMILY","Adventure;Action & Adventure"
