"name","weighted_price_avg"
"Nick",0E-24
"Battlefield™ Companion",0E-24
"Bullet Force",0E-24
"TED",0E-24
"My College Bookstore",0E-20
"Boom Beach",0E-24
"Wishbone - Compare Anything",0E-24
"Township",0E-24
"Hungry Shark World",0E-24
"Smashy Road: Arena",0E-24
"Philips Hue",0E-24
"Super Jabber Jump",0E-24
"Driving Zone",0E-24
"Photo Editor by Aviary",0E-24
"SimCity BuildIt",0E-24
"Shadow Fight 2",0E-24
"The CW",0E-24
"AMC",0E-24
"Cartoon Wars 3",0E-24
"Army of Heroes",0E-24
"Just Dance Now",0E-24
"DB Navigator",0E-24
"Injustice: Gods Among Us",0E-24
"MARVEL Contest of Champions",0E-24
"MARVEL Avengers Academy",0E-24
"MARVEL Future Fight",0E-24
"WEB.DE Mail",0E-24
"Bike Unchained",0E-24
"Deck Heroes: Legacy",0E-24
"Boomerang from Instagram",0E-24
"Google Sheets",0E-24
"Nyan Cat: Lost In Space",0E-24
"Google Docs",0E-24
"Does not Commute",0E-24
"Dude Perfect 2",0E-24
"Endless Ducker",0E-20
"SONIC Drive-In",0E-24
"McDonald's",0E-24
"Whataburger",0E-20
"Starbucks",0E-24
"PES CLUB MANAGER",0E-24
"Star Chart",0E-24
"NBA LIVE Mobile Basketball",0E-24
"Need for Speed™ No Limits",0E-24
"Real Racing 3",0E-24
"The Simpsons™: Tapped Out",0E-24
"Plants vs. Zombies™ 2",0E-24
"Star Wars™: Galaxy of Heroes",0E-24
"Bejeweled Classic",0E-24
"Bejeweled Blitz",0E-24
"Peggle Blast",0E-24
"Gear.Club - True Racing",0E-24
"My Little Pony: Harmony Quest",0E-24
"Pineapple Pen",0E-24
"Bad Piggies HD",0E-24
"Fernanfloo",0E-24
"Narcos: Cartel Wars",0E-24
"Edmodo",0E-24
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",0E-24
"Frozen Free Fall",0E-24
"Episode - Choose Your Story",0E-24
"Google Earth",0E-24
"Epson iPrint",0E-24
"myChevrolet",0E-20
"Design Home",0E-24
"Mobile Strike",0E-24
"Premier League - Official App",0E-24
"Farm Heroes Saga",0E-24
"Fallout Shelter",0E-24
"Messenger",0E-24
"Angry Birds Space HD",0E-24
"Talking Tom Bubble Shooter",0E-24
"Crazy Freekick",0E-24
"Firefox Focus: The privacy browser",0E-24
"Infinite Painter",0E-24
"Fuel Rewards® program",0E-24
"Indeed Job Search",0E-24
"Uber Driver",0E-24
"ADP Mobile Solutions",0E-24
"WhatsApp Messenger",0E-24
"Hangouts",0E-24
"Firefox Focus: The privacy browser",0E-24
"WeChat",0E-24
"Puffin Web Browser",0E-24
"GMX Mail",0E-24
"WhatsApp Messenger",0E-24
"Hangouts",0E-24
"WeChat",0E-24
"GroupMe",0E-24
"Firefox Focus: The privacy browser",0E-24
"Puffin Web Browser",0E-24
"Hangouts",0E-24
"WeChat",0E-24
"TED",0E-24
"PBS KIDS Video",0E-24
"TED",0E-24
"TED",0E-24
"Google Classroom",0E-24
"Edmodo",0E-24
"Google Classroom",0E-24
"ClassDojo",0E-24
"Google Classroom",0E-24
"ClassDojo",0E-24
"Netflix",0E-24
"YouTube Kids",0E-24
"Talking Ginger 2",0E-24
"Amazon Prime Video",0E-24
"Regal Cinemas",0E-24
"Fandango Movies - Times + Tickets",0E-24
"Netflix",0E-24
"STARZ",0E-24
"Nick",0E-24
"The CW",0E-24
