"name","primary_genre","weighted_avg_price","rights_purchase_cost","rating","rating-2","weighted_avg_review","lifespan_months","total_in_app_revenue","total_marketing_expense","total_profit"
"Smash Hit","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Solitaire","Games",0.00,25000.00,4.5,4.4,4.50,120,270000,108000,137000.00
"Solitaire","Games",0.00,25000.00,4.5,4.7,4.50,120,270000,108000,137000.00
"Sonic Dash","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Star Wars™: Galaxy of Heroes","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Starbucks","Food & Drink",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Subway Surfers","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"The Washington Post Classic","News",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Threema","Social Networking",2.99,29900.00,4.5,4.5,4.50,120,270000,108000,132100.00
"Tiny Archers","Games",0.00,25000.00,4.0,4.5,4.50,120,270000,108000,137000.00
"Toca Kitchen 2","Education",0.01,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Traffic Racer","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Trello","Productivity",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Trivia Crack","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Vikings: an Archer's Journey","Games",0.03,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Wish - Shopping Made Fun","Shopping",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"YouTube Kids","Entertainment",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Microsoft PowerPoint","Productivity",0.00,25000.00,4.0,4.5,4.49,120,270000,108000,137000.00
"Snapseed","Photo & Video",0.00,25000.00,4.0,4.5,4.49,120,270000,108000,137000.00
"WWE","Entertainment",0.00,25000.00,4.0,4.5,4.49,120,270000,108000,137000.00
"Fruit Ninja Classic","Games",1.88,25000.00,4.5,4.3,4.48,120,270000,108000,137000.00
"Baldur's Gate: Enhanced Edition","Games",9.99,99900.00,4.0,4.5,4.47,120,270000,108000,62100.00
"Pocket Yoga","Health & Fitness",2.99,29900.00,4.5,4.4,4.47,120,270000,108000,132100.00
"Endless Ducker","Games",0.00,25000.00,4.0,4.5,4.46,120,270000,108000,137000.00
"Bejeweled Classic","Games",0.00,25000.00,4.5,4.4,4.45,120,270000,108000,137000.00
"F-Sim Space Shuttle","Games",4.99,49900.00,4.5,4.4,4.45,120,270000,108000,112100.00
"Whataburger","Food & Drink",0.00,25000.00,3.0,4.5,4.44,120,270000,108000,137000.00
"Plants vs. Zombies™ 2","Games",0.00,25000.00,4.5,4.4,4.43,120,270000,108000,137000.00
"The CW","Entertainment",0.00,25000.00,4.5,4.4,4.43,120,270000,108000,137000.00
"AJ Jump: Animal Jam Kangaroos!","Games",1.99,25000.00,4.5,4.4,4.42,120,270000,108000,137000.00
"ClassDojo","Education",0.00,25000.00,4.5,4.4,4.42,120,270000,108000,137000.00
"Injustice: Gods Among Us","Games",0.00,25000.00,4.5,4.4,4.42,120,270000,108000,137000.00
"USAA Mobile","Finance",0.00,25000.00,4.0,4.5,4.42,120,270000,108000,137000.00
"Angry Birds Rio","Games",0.00,25000.00,4.5,4.4,4.41,120,270000,108000,137000.00
"Call of Duty®: Heroes","Games",0.00,25000.00,4.5,4.4,4.41,120,270000,108000,137000.00
"Dr. Panda & Toto's Treehouse","Entertainment",3.99,39900.00,4.5,4.4,4.41,120,270000,108000,122100.00
"Jetpack Joyride","Games",0.00,25000.00,4.5,4.4,4.41,120,270000,108000,137000.00
"Microsoft OneNote","Productivity",0.00,25000.00,4.5,4.4,4.41,120,270000,108000,137000.00
"Muscle Premium - Human Anatomy, Kinesiology, Bones","Medical",21.45,214534.15,4.5,4.2,4.41,120,270000,108000,-52534.15
"The Game of Life","Games",2.99,29900.00,4.5,4.4,4.41,120,270000,108000,132100.00
"Yahoo Weather","Weather",0.00,25000.00,4.5,4.4,4.41,120,270000,108000,137000.00
"Adobe Illustrator Draw","Productivity",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Bad Piggies HD","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Boomerang from Instagram","Photo & Video",0.00,25000.00,3.5,4.4,4.40,120,270000,108000,137000.00
"Candy Crush Saga","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Candy Crush Soda Saga","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Design Home","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Farm Heroes Saga","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Gear.Club - True Racing","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Google Translate","Reference",0.00,25000.00,3.5,4.4,4.40,120,270000,108000,137000.00
"Hill Climb Racing","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Inside Out Thought Bubbles","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"MORTAL KOMBAT X","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Need for Speed™ No Limits","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"PES CLUB MANAGER","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Photo Editor by Aviary","Photo & Video",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Plants vs. Zombies™ Heroes","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Red Ball 4","Games",0.01,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Swamp Attack","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Talking Tom Bubble Shooter","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Uber Driver","Business",0.00,25000.00,3.0,4.4,4.40,120,270000,108000,137000.00
"WhatsApp Messenger","Social Networking",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Zombie Tsunami","Games",0.00,25000.00,4.5,4.4,4.40,120,270000,108000,137000.00
"Firefox Focus: The privacy browser","Utilities",0.00,25000.00,4.0,4.4,4.39,120,270000,108000,137000.00
"NBA LIVE Mobile Basketball","Games",0.00,25000.00,4.0,4.4,4.39,120,270000,108000,137000.00
"Sago Mini Babies","Education",3.77,37732.82,4.0,4.5,4.39,120,270000,108000,124267.18
"VSCO","Photo & Video",0.00,25000.00,3.5,4.4,4.39,120,270000,108000,137000.00
"Airbnb","Travel",0.00,25000.00,4.0,4.4,4.38,120,270000,108000,137000.00
"Dropbox","Productivity",0.00,25000.00,3.5,4.4,4.38,120,270000,108000,137000.00
"Out There Chronicles - Ep. 1","Games",2.94,29357.27,4.0,4.4,4.38,120,270000,108000,132642.73
"slither.io","Games",0.00,25000.00,3.5,4.4,4.38,120,270000,108000,137000.00
"Toca Builders","Education",3.38,33847.81,4.5,4.2,4.38,120,270000,108000,128152.19
"Grand Theft Auto: San Andreas","Games",6.99,69900.00,4.0,4.4,4.37,114,255000,102000,83100.00
"True Skate","Games",1.99,25000.00,4.0,4.4,4.37,114,255000,102000,128000.00
"Regal Cinemas","Entertainment",0.00,25000.00,4.5,4.3,4.36,114,255000,102000,128000.00
"Temple Run","Games",0.00,25000.00,4.5,4.3,4.36,114,255000,102000,128000.00
"The Sims™ FreePlay","Games",0.00,25000.00,4.5,4.3,4.36,114,255000,102000,128000.00
"Tumblr","Social Networking",0.00,25000.00,4.0,4.4,4.36,114,255000,102000,128000.00
"Wishbone - Compare Anything","Social Networking",0.00,25000.00,4.5,4.3,4.36,114,255000,102000,128000.00
"Doodle Jump","Games",0.26,25000.00,4.5,4.3,4.35,114,255000,102000,128000.00
"Netflix","Entertainment",0.00,25000.00,3.5,4.4,4.35,114,255000,102000,128000.00
"Speedtest by Ookla","Utilities",0.00,25000.00,3.5,4.4,4.35,114,255000,102000,128000.00
"WGT Golf Game by Topgolf","Games",0.00,25000.00,4.5,4.3,4.35,114,255000,102000,128000.00
"Afterlight","Photo & Video",0.21,25000.00,4.5,4.3,4.34,114,255000,102000,128000.00
"Flow Free","Games",0.00,25000.00,4.5,4.3,4.34,114,255000,102000,128000.00
"Don't Starve: Pocket Edition","Games",4.99,49900.00,4.0,4.4,4.33,114,255000,102000,103100.00
"Paprika Recipe Manager","Food & Drink",4.99,49900.00,4.5,4.1,4.33,114,255000,102000,103100.00
"Please, Don't Touch Anything","Games",4.99,49900.00,4.0,4.4,4.33,114,255000,102000,103100.00
"Episode - Choose Your Story","Games",0.00,25000.00,4.5,4.3,4.32,114,255000,102000,128000.00
"MARVEL Contest of Champions","Games",0.00,25000.00,4.5,4.3,4.32,114,255000,102000,128000.00
"Photo Editor-","Photo & Video",0.00,25000.00,4.5,4.3,4.32,114,255000,102000,128000.00
"Star Chart","Education",0.00,25000.00,4.5,4.3,4.32,114,255000,102000,128000.00
"Xbox","Entertainment",0.00,25000.00,4.5,4.3,4.32,114,255000,102000,128000.00
"Angry Birds Star Wars","Games",0.00,25000.00,4.5,4.3,4.31,114,255000,102000,128000.00
"Frozen Free Fall","Games",0.00,25000.00,4.5,4.3,4.31,114,255000,102000,128000.00
